"PID","MS.SubClass","MS.Zoning","Lot.Frontage","Lot.Area","Street","Alley","Lot.Shape","Land.Contour","Utilities","Lot.Config","Land.Slope","Neighborhood","Condition.1","Condition.2","Bldg.Type","House.Style","Overall.Qual","Overall.Cond","Year.Built","Year.Remod.Add","Roof.Style","Roof.Matl","Exterior.1st","Exterior.2nd","Mas.Vnr.Type","Mas.Vnr.Area","Exter.Qual","Exter.Cond","Foundation","Bsmt.Qual","Bsmt.Cond","Bsmt.Exposure","BsmtFin.Type.1","BsmtFin.SF.1","BsmtFin.Type.2","BsmtFin.SF.2","Bsmt.Unf.SF","Total.Bsmt.SF","Heating","Heating.QC","Central.Air","Electrical","X1st.Flr.SF","X2nd.Flr.SF","Low.Qual.Fin.SF","Gr.Liv.Area","Bsmt.Full.Bath","Bsmt.Half.Bath","Full.Bath","Half.Bath","Bedroom.AbvGr","Kitchen.AbvGr","Kitchen.Qual","TotRms.AbvGrd","Functional","Fireplaces","Fireplace.Qu","Garage.Type","Garage.Yr.Blt","Garage.Finish","Garage.Cars","Garage.Area","Garage.Qual","Garage.Cond","Paved.Drive","Wood.Deck.SF","Open.Porch.SF","Enclosed.Porch","X3Ssn.Porch","Screen.Porch","Pool.Area","Pool.QC","Fence","Misc.Feature","Misc.Val","Sale.Type","Sale.Condition","SalePrice"
908154080,20,"RL",123,47007,"Pave","NA","IR1","Lvl","AllPub","Inside","Gtl",8,"Norm","Norm","1Fam","1Story",5,7,1959,1996,"Gable","CompShg","Plywood","Plywood","None",0,"TA","TA","Slab","NA","NA","NA","NA",0,"NA",0,0,0,"GasA","TA","Y","SBrkr",3820,0,0,3820,,,3,1,5,1,"Ex",11,"Typ",2,"Gd","Attchd",1959,"Unf",2,624,"TA","TA","Y",0,372,0,0,0,0,"NA","NA","NA",0,"WD ","Normal",344885.248706496
528344020,60,"RL",74,11002,"Pave","NA","IR1","Lvl","AllPub","Inside","Gtl",17,"Norm","Norm","1Fam","2Story",8,5,1998,1999,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","No","GLQ",1048,"Unf",0,341,1389,"GasA","Ex","Y","SBrkr",1411,1171,0,2582,1,0,2,1,4,1,"Gd",9,"Typ",1,"TA","Attchd",1998,"Fin",3,758,"TA","TA","Y",286,60,0,0,0,0,"NA","NA","NA",0,"WD ","Normal",376423.306525755
907185050,60,"RL",70,8750,"Pave","NA","Reg","Lvl","AllPub","Inside","Gtl",6,"Norm","Norm","1Fam","2Story",6,5,1998,1998,"Gable","CompShg","VinylSd","VinylSd","BrkFace",120,"TA","TA","PConc","Gd","TA","No","GLQ",606,"Unf",0,322,928,"GasA","Ex","Y","SBrkr",928,844,0,1772,1,0,2,1,3,1,"TA",7,"Typ",1,"TA","Attchd",1998,"RFn",2,492,"TA","TA","Y",150,96,0,0,0,0,"NA","NA","NA",0,"WD ","Normal",241428.716762367
924152030,60,"RL",74,12961,"Pave","NA","Reg","Lvl","AllPub","Inside","Gtl",15,"Norm","Norm","1Fam","2Story",6,5,1993,1994,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","Gd","PConc","Gd","TA","Mn","GLQ",944,"Unf",0,208,1152,"GasA","Ex","Y","SBrkr",1152,645,0,1797,1,0,2,1,3,1,"Gd",7,"Typ",1,"Fa","Attchd",1993,"Fin",2,616,"TA","TA","Y",162,312,0,0,0,0,"NA","NA","NA",0,"WD ","Normal",276491.56759664
903236010,50,"RM",50,8635,"Pave","NA","Reg","Lvl","AllPub","Inside","Gtl",4,"Norm","Norm","1Fam","1.5Fin",5,5,1948,2001,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","CBlock","TA","TA","No","BLQ",336,"GLQ",41,295,672,"GasA","TA","Y","SBrkr",1072,213,0,1285,1,0,1,0,2,1,"TA",6,"Min1",0,"NA","Detchd",1948,"Unf",1,240,"TA","TA","Y",0,0,0,0,0,0,"NA","MnPrv","NA",0,"WD ","Normal",140445.159593162
909282110,70,"RL",70,14210,"Pave","NA","IR1","Lvl","AllPub","Inside","Gtl",7,"Norm","Norm","1Fam","2Story",6,7,1930,1959,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","PConc","TA","TA","No","Unf",0,"Unf",0,697,697,"GasA","Ex","Y","SBrkr",1104,697,0,1801,0,0,1,1,3,1,"TA",8,"Typ",1,"Gd","Attchd",1930,"Unf",2,365,"Fa","TA","Y",0,90,0,0,0,0,"NA","MnPrv","NA",0,"WD ","Normal",257767.238407925
528488110,20,"FV",60,7200,"Pave","Pave","Reg","Lvl","AllPub","Inside","Gtl",24,"Norm","Norm","1Fam","1Story",6,5,2006,2006,"Gable","CompShg","VinylSd","VinylSd","Stone",68,"Gd","TA","PConc","Gd","TA","No","GLQ",905,"Unf",0,357,1262,"GasA","Gd","Y","SBrkr",1262,0,0,1262,0,0,2,0,2,1,"Gd",5,"Typ",0,"NA","Attchd",2006,"Fin",2,572,"TA","TA","Y",0,120,0,0,0,0,"NA","NA","NA",0,"New","Partial",209788.311430764
909256010,50,"RL",84,10164,"Pave","NA","Reg","Bnk","AllPub","Inside","Gtl",26,"Norm","Norm","1Fam","1.5Fin",5,5,1939,1950,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","CBlock","TA","Fa","Av","LwQ",646,"Unf",0,346,992,"GasA","Fa","Y","SBrkr",992,473,0,1465,0,0,2,0,3,1,"TA",6,"Typ",2,"TA","Detchd",1939,"Unf",1,240,"TA","TA","Y",0,126,0,0,0,0,"NA","NA","NA",0,"WD ","Normal",159533.606663056
916325040,20,"RL",,50102,"Pave","NA","IR1","Low","AllPub","Inside","Mod",27,"Norm","Norm","1Fam","1Story",6,5,1958,1958,"Gable","Tar&Grv","Plywood","Plywood","None",0,"TA","TA","CBlock","Gd","TA","Gd","BLQ",909,"Unf",0,723,1632,"GasA","TA","Y","SBrkr",1650,0,0,1650,1,0,1,0,2,1,"TA",6,"Typ",2,"Gd","Attchd",1958,"Unf",2,518,"TA","TA","Y",0,0,0,0,138,0,"NA","NA","NA",0,"WD ","Alloca",308718.121479777
907275080,20,"RL",73,11927,"Pave","NA","Reg","Lvl","AllPub","Inside","Gtl",6,"Norm","Norm","1Fam","1Story",8,5,1994,1995,"Hip","CompShg","HdBoard","HdBoard","BrkFace",519,"Gd","TA","PConc","Gd","TA","Gd","BLQ",408,"GLQ",465,683,1556,"GasA","Ex","Y","SBrkr",1592,0,0,1592,0,0,2,0,3,1,"Gd",7,"Typ",1,"TA","Attchd",1994,"Fin",2,484,"TA","TA","Y",120,35,0,0,0,0,"NA","NA","NA",0,"WD ","Normal",244385.456332605
