Title,Genre,Runtime,Language
Beasts of No Nation,War drama,"2 hours, 17 min.",English
The Ridiculous 6,Western,2 hours,English
Pee-wee's Big Holiday,Adventure,"1 hour, 30 min.",English
Special Correspondents,Satire,"1 hour, 41 min.",English
The Do-Over,Action comedy,"1 hour, 48 min.",English
The Fundamentals of Caring,Comedy-drama,"1 hour, 37 min.",English
Brahman Naman,Comedy,"1 hour, 35 min.",English
Rebirth,Thriller,"1 hour, 40 min.",English
Tallulah,Comedy-drama,"1 hour, 51 min.",English
XOXO,Drama,"1 hour, 32 min.",English
ARQ,Science fiction / Thriller,"1 hour, 28 min.",English
The Siege of Jadotville,War,"1 hour, 48 min.",English
Mascots,Mockumentary,"1 hour, 35 min.",English
I Am the Pretty Thing That Lives in the House,Horror,"1 hour, 29 min.",English
True Memoirs of an International Assassin,Action comedy,"1 hour, 38 min.",English
Mercy,Thriller,"1 hour, 27 min.",English
Spectral,Science fiction / Action,"1 hour, 48 min.",English
Barry,Biopic,"1 hour, 44 min.",English
Coin Heist,Heist,"1 hour, 37 min.",English
Clinical,Thriller,"1 hour, 44 min.",English
Take the 10,Comedy,"1 hour, 20 min.",English
iBOY,Science fiction / Thriller,"1 hour, 30 min.",English
Imperial Dreams,Drama,"1 hour, 26 min.",English
Girlfriend's Day,Comedy,"1 hour, 10 min.",English
I Don't Feel at Home in This World Anymore,Drama,"1 hour, 36 min.",English
Burning Sands,Drama,"1 hour, 42 min.",English
Deidra & Laney Rob a Train,Drama,"1 hour, 32 min.",English
The Most Hated Woman in America,Biopic,"1 hour, 32 min.",English
The Discovery,Science fiction / Drama,"1 hour, 42 min.",English
Win It All,Comedy,"1 hour, 28 min.",English
Sandy Wexler,Comedy,"2 hours, 11 min.",English
Sand Castle,War,"1 hour, 53 min.",English
Tramps,Romance,"1 hour, 23 min.",English
Small Crimes,Dark comedy,"1 hour, 35 min.",English
Handsome: A Netflix Mystery Movie,Comedy,"1 hour, 21 min.",English
BLAME!,Anime / Science fiction,"1 hour, 46 min.",Japanese
War Machine,War-Comedy,"2 hours, 2 min.",English
Shimmer Lake,Crime thriller,"1 hour, 26 min.",English
Okja,Action-adventure,"2 hours, 1 min.",English
To the Bone,Drama,"1 hour, 47 min.",English
The Incredible Jessica James,Comedy,"1 hour, 23 min.",English
Naked,Comedy,"1 hour, 36 min.",English
Death Note,Horror thriller,"1 hour, 40 min.",English
Little Evil,Comedy horror,"1 hour, 34 min.",English
#realityhigh,Comedy,"1 hour, 39 min.",English
First They Killed My Father,Drama,"2 hours, 16 min.",Khmer
Gerald's Game,Horror thriller,"1 hour, 43 min.",English
Our Souls at Night,Romance,"1 hour, 43 min.",English
Bomb Scared,Black comedy,"1 hour, 29 min.",Spanish
The Babysitter,Teen comedy horror,"1 hour, 25 min.",English
The Meyerowitz Stories (New and Selected),Comedy-drama,"1 hour, 52 min.",English
1922,Horror / Crime drama,"1 hour, 42 min.",English
Wheelman,Action thriller,"1 hour, 22 min.",English
The Killer,Western,"1 hour, 39 min.",Portuguese
A Christmas Prince,Romantic comedy,"1 hour, 32 min.",English
El Camino Christmas,Dark comedy,"1 hour, 29 min.",English
Christmas Inheritance,Romantic drama,"1 hour, 44 min.",English
Bright,Urban fantasy,"1 hour, 57 min.",English
My Own Man,Documentary,"1 hour, 21 min.",English
The Other One: The Long Strange Trip of Bob Weir,Documentary,"1 hour, 23 min.",English
Hot Girls Wanted,Documentary,"1 hour, 24 min.",English
"What Happened, Miss Simone?",Documentary,"1 hour, 24 min.",English
Tig,Documentary,"1 hour, 20 min.",English
Keith Richards: Under the Influence,Documentary,"1 hour, 21 min.",English
Winter on Fire: Ukraine's Fight for Freedom,Documentary,"1 hour, 31 min.",Ukrainian
My Beautiful Broken Brain,Documentary,"1 hour, 31 min.",English
Team Foxcatcher,Documentary,"1 hour, 30 min.",English
Tony Robbins: I Am Not Your Guru,Documentary,"1 hour, 56 min.",English
I'll Sleep When I'm Dead,Documentary,"1 hour, 19 min.",English
Extremis,Documentary,24 min.,English
The White Helmets,Documentary,40 min.,English
Audrie & Daisy,Documentary,"1 hour, 38 min.",English
Amanda Knox,Documentary,"1 hour, 32 min.",English
13th,Documentary,"1 hour, 40 min.",English
Sky Ladder: The Art of Cai Guo-Qiang,Documentary,"1 hour, 19 min.",Mandarin
Into the Inferno,Documentary,"1 hour, 47 min.",English
The Ivory Game,Documentary,"1 hour, 52 min.",English
Casting JonBenet,Documentary,"1 hour, 20 min.",English
The Mars Generation,Documentary,"1 hour, 37 min.",English
Get Me Roger Stone,Documentary,"1 hour, 41 min.",English
Laerte-se,Documentary,"1 hour, 40 min.",Portuguese
Joshua: Teenager vs. Superpower,Documentary,"1 hour, 18 min.",English
