tconst,averageRating,numVotes,title,id
tt11394180,7.4,5864,Dick Johnson Is Dead,tt11394180
tt10101702,6.9,2685,My Little Pony: A New Generation,tt10101702
tt5164438,6.3,9055,The Starling,tt5164438
tt9205538,5.4,608,Je Suis Karl,tt9205538
tt15204288,5.2,638,Confessions of an Invisible Girl,tt15204288
tt11564588,6.9,137,Europe's Most Dangerous Man: Otto Skorzeny in Spain,tt11564588
tt15296598,5.8,28,Go! Go! Cory Carson: Chrissy Takes the Wheel,tt15296598
tt0274789,6.9,1162,Minsara Kanavu,tt0274789
tt15250998,5.6,712,Ankahi Kahaniya,tt15250998
tt8886670,5.5,2827,The Father Who Moves Mountains,tt8886670
tt5238240,6.4,2638,The Stronghold,tt5238240
tt2720826,5.6,7917,Birth of the Dragon,tt2720826
tt6840954,7.7,28,Jaws,tt6840954
tt0077766,5.8,75714,Jaws 2,tt0077766
tt0085750,3.7,42487,Jaws 3,tt0085750
tt6837218,8.6,22,Jaws: The Revenge,tt6837218
tt15084326,6.8,190,My Heroes Were Cowboys,tt15084326
tt0366621,7.5,2062,InuYasha the Movie 2: The Castle Beyond the Looking Glass,tt0366621
tt0396659,7.7,2149,InuYasha the Movie 3: Swords of an Honorable Ruler,tt0396659
tt1999167,7.2,4768,Naruto Shippuden the Movie: Blood Prison,tt1999167
tt0988982,6.9,3789,Naruto Shippuden: The Movie,tt0988982
tt0791188,6.5,4070,Naruto the Movie 2: Legend of the Stone of Gelel,tt0791188
tt1071815,6.5,3752,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,tt1071815
tt0476680,6.7,6404,Naruto the Movie: Ninja Clash in the Land of Snow,tt0476680
tt10521144,5.8,6892,Nightbooks,tt10521144
tt10322274,7.5,17711,Schumacher,tt10322274
tt8329618,6,389,King of Boys,tt8329618
tt15250050,5.3,174,You vs. Wild: Out Cold,tt15250050
tt9769668,5.4,1388,Tughlaq Durbar,tt9769668
tt7080422,5.7,1280,Firedrake the Silver Dragon,tt7080422
tt15095938,6.8,702,Blood Brothers: Malcolm X & Muhammad Ali,tt15095938
tt6127004,5.4,21437,Paradise Hills,tt6127004
tt15216504,6.4,863,The Women and the Murderer,tt15216504
tt12299824,5.3,1284,JJ+E,tt12299824
tt5691024,3.9,4549,Show Dogs,tt5691024
tt6214722,7.9,1154,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,tt6214722
tt15101938,7.6,1879,Untold: Breaking Point,tt15101938
tt10168094,5.2,7,Shadow Parties,tt10168094
tt6167894,8,5609,Angamaly Diaries,tt6167894
tt4738912,5.9,370,A Champion Heart,tt4738912
tt8063750,8.6,49,Worth,tt8063750
tt11742798,5.8,6609,Afterlife of the Party,tt11742798
tt1611003,4,12,Anjaam,tt1611003
tt0810784,6.9,26127,Bright Star,tt0810784
tt4088588,7.9,3810,Dhanak,tt4088588
tt12789212,6.9,541,Final Account,tt12789212
tt4699202,6.5,2048,Gurgaon,tt4699202
tt4048754,6.2,6,Here and There,tt4048754
tt4759792,7,115,In the Cut,tt4759792
tt10930586,3.9,7616,Shikara,tt10930586
tt0356470,5.9,84628,A Cinderella Story,tt0356470
tt1869347,6.3,21693,Agatha Christie's Crooked House,tt1869347
tt0350261,7,30502,An Unfinished Life,tt0350261
tt0083658,8.1,728731,Blade Runner: The Final Cut,tt0083658
tt0109444,6.9,95666,Clear and Present Danger,tt0109444
tt8654118,6.8,21,Cliffhanger,tt8654118
tt4647234,6.5,6,Cold Mountain,tt4647234
tt0231402,4.8,24509,Crocodile Dundee in Los Angeles,tt0231402
tt4510450,7.7,243,Do the Right Thing,tt4510450
tt3854234,7.4,1954,"El patrón, radiografía de un crimen",tt3854234
tt0463998,7.6,75238,Freedom Writers,tt0463998
tt1133985,5.5,276909,Green Lantern,tt1133985
tt0110064,4.8,5183,House Party 3,tt0110064
tt0131436,4.1,2238,I Got the Hook Up,tt0131436
tt0439630,6.4,8249,Initial D,tt0439630
tt4841640,4.4,159,Janoskians: Untold and Untrue,tt4841640
tt0892318,6.5,96922,Letters to Juliet,tt0892318
tt4006302,6.1,9422,Level 16,tt4006302
tt0337592,5.2,8528,Love Don't Cost a Thing,tt0337592
tt1602479,7.2,2487,Love in a Puff,tt1602479
tt0116996,6.4,219495,Mars Attacks!,tt0116996
tt0282770,6.1,29,Mystery Men,tt0282770
tt0087843,8.3,332532,Once Upon a Time in America,tt0087843
tt1982806,6.4,15,Open Season 2,tt1982806
tt0181739,6.3,34693,Osmosis Jones,tt0181739
tt0120014,7.4,863,Rhyme & Reason,tt0120014
tt1230168,6.7,7773,Same Kind of Different as Me,tt1230168
tt5073746,5.5,472,Snervous Tyler Oakley,tt5073746
tt0210575,5.3,31,The Blue Lagoon,tt0210575
tt3506476,5.7,8,The Golden Child,tt3506476
tt0054953,7.5,48560,The Guns of Navarone,tt0054953
tt1077097,5.4,2415,2 Alone in Paris,tt1077097
tt13310936,7.4,1265,Thimmarusu,tt13310936
tt5362988,7.7,227757,Wind River,tt5362988
tt1170399,5.4,1081,C Kkompany,tt1170399
tt1221133,4.3,598,EMI: Liya Hai To Chukana Padega,tt1221133
tt4590256,4.3,20381,He's All That,tt4590256
tt0488840,5.2,253,Koi Aap Sa,tt0488840
tt0408976,5.2,1106,Krishna Cottage,tt0408976
tt0348662,4.2,888,Kucch To Hai,tt0348662
tt0456500,6.1,3426,Kyaa Kool Hai Hum,tt0456500
tt5290620,1.9,4288,Kyaa Kool Hain Hum 3,tt5290620
tt2027138,4.9,3846,Kyaa Super Kool Hain Hum,tt2027138
tt0297241,5.4,2115,Kyo Kii... Main Jhuth Nahin Bolta,tt0297241
tt1608777,7.1,5537,"LSD: Love, Sex Aur Dhokha",tt1608777
tt1395054,7.4,17181,Once Upon a Time in Mumbaai,tt1395054
tt1891884,4.5,7049,Once Upon a Time in Mumbai Dobaara!,tt1891884
tt1890513,4.9,2594,Ragini MMS,tt1890513
tt2609218,3.8,2830,Ragini MMS 2,tt2609218
tt4479380,5.2,15521,SAS: Rise of the Black Swan,tt4479380
tt0811066,7.1,9919,Shootout at Lokhandwala,tt0811066
tt1954206,6.6,9298,The Dirty Picture,tt1954206
tt14539744,7,4961,"Bob Ross: Happy Accidents, Betrayal & Greed",tt14539744
tt8722624,6.1,641,Really Love,tt8722624
tt2402157,6.3,66341,The November Man,tt2402157
tt1647399,6.1,10,The Old Ways,tt1647399
tt15293256,7.1,948,The River Runner,tt15293256
tt4779326,5.4,3224,The Water Man,tt4779326
tt6889042,6.7,1348,Count Me In,tt6889042
tt15101946,6.2,2078,Untold: Caitlyn Jenner,tt15101946
tt11073148,5.9,2400,Boomika,tt11073148
tt11657662,7.3,31478,The Witcher: Nightmare of the Wolf,tt11657662
tt8098636,6.8,538,Gunshot,tt8098636
tt3479250,6.9,727,Man in Love,tt3479250
tt6714432,6.4,1145,The Loud House Movie,tt6714432
tt6281994,6.2,12,A Faraway Land,tt6281994
tt15085784,6.3,2497,Memories of a Murderer: The Nilsen Tapes,tt15085784
tt4271820,7.4,5509,O Kadhal Kanmani,tt4271820
tt11594766,5.4,681,The Secret Diary of an Exchange Student,tt11594766
tt14494898,4.5,45,Lokillo: Nothing's the Same,tt14494898
tt9174358,5.2,1083,Monster Hunter: Legends of the Guild,tt9174358
tt12025688,4.8,136,La diosa del asfalto,tt12025688
tt13648220,6.6,1518,Misha and the Wolves,tt13648220
tt12783454,4.7,13042,The Kissing Booth 3,tt12783454
tt2058107,7.1,39061,The Railway Man,tt2058107
tt15085802,7.5,6561,Untold: Malice at the Palace,tt15085802
tt6060444,6.4,3219,The Paper Tigers,tt6060444
tt13113544,3.4,59,Quam's Money,tt13113544
tt2112124,6.1,51907,Chennai Express,tt2112124
tt4103686,6.4,1255,City of God: 10 Years Later,tt4103686
tt13244024,6.8,302,Lady Boss: The Jackie Collins Story,tt13244024
tt0108291,6.7,1521,Tango Feroz,tt0108291
tt2385126,5.8,201,'76,tt2385126
tt11224358,6.6,2307,Pray Away,tt11224358
tt15036416,7.3,3512,Shiny_Flakes: The Teenage Drug Lord,tt15036416
tt6494078,6.8,6,Beethoven's 2nd,tt6494078
tt7694546,7.1,8,Beowulf,tt7694546
tt3344680,7,27630,Boyka: Undisputed,tt3344680
tt4123482,3.3,736,Cloudy with a Chance of Meatballs,tt4123482
tt0991247,7.6,22,Deep Blue Sea,tt0991247
tt0091042,7.8,338343,Ferris Bueller's Day Off,tt0091042
tt6472976,7.2,56295,Five Feet Apart,tt6472976
tt3762506,6.4,127,Freedomland,tt3762506
tt5138210,6.5,28,Good Luck Chuck,tt5138210
tt7321322,9,92,Inception,tt7321322
tt9392082,6.4,10,Magnolia,tt9392082
tt0110443,6.3,34368,Major Payne,tt0110443
tt0110613,5.3,19264,My Girl 2,tt0110613
tt4938374,5.1,2847,Open Season: Scared Silly,tt4938374
tt0910936,6.9,327659,Pineapple Express,tt0910936
tt0762125,6,53378,Planet 51,tt0762125
tt5125894,6.1,5718,Poms,tt5125894
tt1457765,5.3,16934,The Haunting in Connecticut 2: Ghosts of Georgia,tt1457765
tt0102266,7,98209,The Last Boy Scout,tt0102266
tt6009050,8.8,249,The Losers,tt6009050
tt0361862,7.7,373306,The Machinist,tt0361862
tt0236388,6.8,5717,The Original Kings of Comedy,tt0236388
tt7371662,6.9,20,The Lost Café,tt7371662
tt9742794,6.4,18950,The Vault,tt9742794
tt2993406,6.5,422,Eyes of a Thief,tt2993406
tt15139398,8.4,1155,I'm Glad I Did,tt15139398
tt1320282,6.2,233,Pomegranates and Myrrh,tt1320282
tt11991748,7.5,6406,Rurouni Kenshin: The Beginning,tt11991748
tt12808182,5.3,7363,The Last Mercenary,tt12808182
tt12929990,5.7,4808,Resort to Love,tt12929990
tt14315566,5.1,971,Bartkowiak,tt14315566
tt8258074,7.5,6049,Fantastic Fungi,tt8258074
tt2186731,3.1,1038,Department,tt2186731
tt13033790,3.8,669,Hostage House,tt13033790
tt9282952,6.9,13,Mimi,tt9282952
tt8000718,5.7,5732,The Operative,tt8000718
tt2735358,8.5,96,Django Unchained,tt2735358
tt13920016,4.8,56,African America,tt13920016
tt14961160,4.1,275,Bankrolled,tt14961160
tt6402468,6.1,40511,Blood Red Sky,tt6402468
tt13412252,7,9303,Kingdom: Ashin of the North,tt13412252
tt11753730,7.9,197,9to5: The Story of a Movement,tt11753730
tt6417816,6.4,12,Chhota Bheem And The Broken Amulet,tt6417816
tt6417854,6.5,25,Chhota Bheem Aur Hanuman,tt6417854
